,ST_CASE,INJ_SEV,INJ_SEVNAME,STATE,STATENAME,WEATHER,WEATHERNAME
163,10084,4,Fatal Injury (K),1,Alabama,1,Clear
164,10084,3,Suspected Serious Injury (A),1,Alabama,1,Clear
165,10084,2,Suspected Minor Injury (B),1,Alabama,1,Clear
166,10084,1,Possible Injury (C),1,Alabama,1,Clear
167,10085,4,Fatal Injury (K),1,Alabama,1,Clear
168,10086,4,Fatal Injury (K),1,Alabama,99,Reported as Unknown
169,10087,4,Fatal Injury (K),1,Alabama,10,Cloudy
170,10088,4,Fatal Injury (K),1,Alabama,2,Rain
171,10088,0,No Apparent Injury (O),1,Alabama,2,Rain
172,10089,4,Fatal Injury (K),1,Alabama,2,Rain
173,10089,3,Suspected Serious Injury (A),1,Alabama,2,Rain
174,10090,0,No Apparent Injury (O),1,Alabama,1,Clear
175,10090,4,Fatal Injury (K),1,Alabama,1,Clear
176,10091,4,Fatal Injury (K),1,Alabama,1,Clear
177,10091,3,Suspected Serious Injury (A),1,Alabama,1,Clear
178,10091,1,Possible Injury (C),1,Alabama,1,Clear
179,10092,1,Possible Injury (C),1,Alabama,1,Clear
180,10092,3,Suspected Serious Injury (A),1,Alabama,1,Clear
181,10092,4,Fatal Injury (K),1,Alabama,1,Clear
182,10093,4,Fatal Injury (K),1,Alabama,10,Cloudy
183,10094,3,Suspected Serious Injury (A),1,Alabama,10,Cloudy
184,10094,4,Fatal Injury (K),1,Alabama,10,Cloudy
185,10095,4,Fatal Injury (K),1,Alabama,2,Rain
186,10095,0,No Apparent Injury (O),1,Alabama,2,Rain
187,10096,4,Fatal Injury (K),1,Alabama,2,Rain
188,10096,2,Suspected Minor Injury (B),1,Alabama,2,Rain
189,10096,1,Possible Injury (C),1,Alabama,2,Rain
190,10097,4,Fatal Injury (K),1,Alabama,2,Rain
191,10097,0,No Apparent Injury (O),1,Alabama,2,Rain
192,10098,4,Fatal Injury (K),1,Alabama,10,Cloudy
193,10098,0,No Apparent Injury (O),1,Alabama,10,Cloudy
194,10099,4,Fatal Injury (K),1,Alabama,1,Clear
195,10099,0,No Apparent Injury (O),1,Alabama,1,Clear
196,10100,4,Fatal Injury (K),1,Alabama,1,Clear
197,10101,4,Fatal Injury (K),1,Alabama,1,Clear
198,10102,4,Fatal Injury (K),1,Alabama,1,Clear
199,10103,4,Fatal Injury (K),1,Alabama,99,Reported as Unknown
200,10103,9,Unknown/Not Reported,1,Alabama,99,Reported as Unknown
201,10104,4,Fatal Injury (K),1,Alabama,1,Clear
202,10104,0,No Apparent Injury (O),1,Alabama,1,Clear
203,10105,4,Fatal Injury (K),1,Alabama,1,Clear
204,10105,0,No Apparent Injury (O),1,Alabama,1,Clear
205,10106,1,Possible Injury (C),1,Alabama,1,Clear
206,10106,4,Fatal Injury (K),1,Alabama,1,Clear
207,10107,2,Suspected Minor Injury (B),1,Alabama,1,Clear
208,10107,4,Fatal Injury (K),1,Alabama,1,Clear
209,10108,3,Suspected Serious Injury (A),1,Alabama,1,Clear
210,10108,4,Fatal Injury (K),1,Alabama,1,Clear
211,10109,4,Fatal Injury (K),1,Alabama,1,Clear
212,10109,2,Suspected Minor Injury (B),1,Alabama,1,Clear
213,10110,0,No Apparent Injury (O),1,Alabama,1,Clear
214,10110,4,Fatal Injury (K),1,Alabama,1,Clear
215,10111,3,Suspected Serious Injury (A),1,Alabama,1,Clear
216,10111,4,Fatal Injury (K),1,Alabama,1,Clear
217,10112,4,Fatal Injury (K),1,Alabama,1,Clear
218,10112,0,No Apparent Injury (O),1,Alabama,1,Clear
219,10113,4,Fatal Injury (K),1,Alabama,1,Clear
220,10113,0,No Apparent Injury (O),1,Alabama,1,Clear
221,10114,4,Fatal Injury (K),1,Alabama,10,Cloudy
222,10114,0,No Apparent Injury (O),1,Alabama,10,Cloudy
223,10115,4,Fatal Injury (K),1,Alabama,2,Rain
224,10115,0,No Apparent Injury (O),1,Alabama,2,Rain
225,10116,4,Fatal Injury (K),1,Alabama,10,Cloudy
226,10116,0,No Apparent Injury (O),1,Alabama,10,Cloudy
227,10117,4,Fatal Injury (K),1,Alabama,1,Clear
228,10117,1,Possible Injury (C),1,Alabama,1,Clear
229,10118,2,Suspected Minor Injury (B),1,Alabama,10,Cloudy
230,10118,4,Fatal Injury (K),1,Alabama,10,Cloudy
231,10119,4,Fatal Injury (K),1,Alabama,10,Cloudy
232,10120,4,Fatal Injury (K),1,Alabama,1,Clear
233,10120,0,No Apparent Injury (O),1,Alabama,1,Clear
234,10121,4,Fatal Injury (K),1,Alabama,10,Cloudy
235,10121,3,Suspected Serious Injury (A),1,Alabama,10,Cloudy
236,10122,2,Suspected Minor Injury (B),1,Alabama,1,Clear
237,10122,3,Suspected Serious Injury (A),1,Alabama,1,Clear
238,10122,4,Fatal Injury (K),1,Alabama,1,Clear
239,10123,4,Fatal Injury (K),1,Alabama,10,Cloudy
240,10123,0,No Apparent Injury (O),1,Alabama,10,Cloudy
241,10124,4,Fatal Injury (K),1,Alabama,2,Rain
242,10124,2,Suspected Minor Injury (B),1,Alabama,2,Rain
243,10124,1,Possible Injury (C),1,Alabama,2,Rain
244,10125,4,Fatal Injury (K),1,Alabama,2,Rain
245,10126,4,Fatal Injury (K),1,Alabama,2,Rain
246,10127,4,Fatal Injury (K),1,Alabama,2,Rain
247,10127,2,Suspected Minor Injury (B),1,Alabama,2,Rain
248,10128,4,Fatal Injury (K),1,Alabama,10,Cloudy
249,10128,3,Suspected Serious Injury (A),1,Alabama,10,Cloudy
250,10129,0,No Apparent Injury (O),1,Alabama,10,Cloudy
251,10129,4,Fatal Injury (K),1,Alabama,10,Cloudy
252,10130,4,Fatal Injury (K),1,Alabama,10,Cloudy
253,10130,3,Suspected Serious Injury (A),1,Alabama,10,Cloudy
254,10131,4,Fatal Injury (K),1,Alabama,10,Cloudy
255,10131,0,No Apparent Injury (O),1,Alabama,10,Cloudy
256,10132,4,Fatal Injury (K),1,Alabama,2,Rain
257,10133,4,Fatal Injury (K),1,Alabama,2,Rain
258,10133,2,Suspected Minor Injury (B),1,Alabama,2,Rain
259,10134,4,Fatal Injury (K),1,Alabama,2,Rain
260,10135,3,Suspected Serious Injury (A),1,Alabama,2,Rain
261,10135,4,Fatal Injury (K),1,Alabama,2,Rain
262,10136,4,Fatal Injury (K),1,Alabama,10,Cloudy
263,10137,4,Fatal Injury (K),1,Alabama,1,Clear
264,10138,4,Fatal Injury (K),1,Alabama,1,Clear
265,10139,4,Fatal Injury (K),1,Alabama,1,Clear
266,10140,4,Fatal Injury (K),1,Alabama,1,Clear
267,10140,0,No Apparent Injury (O),1,Alabama,1,Clear
268,10141,2,Suspected Minor Injury (B),1,Alabama,10,Cloudy
269,10141,3,Suspected Serious Injury (A),1,Alabama,10,Cloudy
270,10141,4,Fatal Injury (K),1,Alabama,10,Cloudy
271,10142,4,Fatal Injury (K),1,Alabama,1,Clear
272,10143,4,Fatal Injury (K),1,Alabama,10,Cloudy
273,10143,3,Suspected Serious Injury (A),1,Alabama,10,Cloudy
274,10144,3,Suspected Serious Injury (A),1,Alabama,1,Clear
275,10144,4,Fatal Injury (K),1,Alabama,1,Clear
276,10145,4,Fatal Injury (K),1,Alabama,1,Clear
277,10146,4,Fatal Injury (K),1,Alabama,10,Cloudy
278,10146,3,Suspected Serious Injury (A),1,Alabama,10,Cloudy
279,10147,4,Fatal Injury (K),1,Alabama,1,Clear
280,10147,1,Possible Injury (C),1,Alabama,1,Clear
281,10148,3,Suspected Serious Injury (A),1,Alabama,10,Cloudy
282,10148,4,Fatal Injury (K),1,Alabama,10,Cloudy
283,10149,4,Fatal Injury (K),1,Alabama,1,Clear
284,10150,4,Fatal Injury (K),1,Alabama,1,Clear
285,10151,4,Fatal Injury (K),1,Alabama,1,Clear
286,10152,4,Fatal Injury (K),1,Alabama,1,Clear
287,10153,4,Fatal Injury (K),1,Alabama,1,Clear
288,10154,4,Fatal Injury (K),1,Alabama,10,Cloudy
289,10155,4,Fatal Injury (K),1,Alabama,1,Clear
290,10155,0,No Apparent Injury (O),1,Alabama,1,Clear
291,10156,4,Fatal Injury (K),1,Alabama,1,Clear
292,10156,0,No Apparent Injury (O),1,Alabama,1,Clear
293,10157,4,Fatal Injury (K),1,Alabama,2,Rain
294,10158,4,Fatal Injury (K),1,Alabama,10,Cloudy
295,10159,0,No Apparent Injury (O),1,Alabama,10,Cloudy
296,10159,4,Fatal Injury (K),1,Alabama,10,Cloudy
297,10159,3,Suspected Serious Injury (A),1,Alabama,10,Cloudy
298,10160,4,Fatal Injury (K),1,Alabama,10,Cloudy
299,10160,3,Suspected Serious Injury (A),1,Alabama,10,Cloudy
300,10161,4,Fatal Injury (K),1,Alabama,1,Clear
301,10162,4,Fatal Injury (K),1,Alabama,1,Clear
302,10162,0,No Apparent Injury (O),1,Alabama,1,Clear
303,10163,4,Fatal Injury (K),1,Alabama,1,Clear
304,10164,4,Fatal Injury (K),1,Alabama,10,Cloudy
305,10165,3,Suspected Serious Injury (A),1,Alabama,1,Clear
306,10165,4,Fatal Injury (K),1,Alabama,1,Clear
307,10166,4,Fatal Injury (K),1,Alabama,1,Clear
308,10166,0,No Apparent Injury (O),1,Alabama,1,Clear
309,10167,4,Fatal Injury (K),1,Alabama,2,Rain
310,10168,3,Suspected Serious Injury (A),1,Alabama,1,Clear
311,10168,4,Fatal Injury (K),1,Alabama,1,Clear
312,10169,3,Suspected Serious Injury (A),1,Alabama,1,Clear
313,10169,4,Fatal Injury (K),1,Alabama,1,Clear
314,10169,0,No Apparent Injury (O),1,Alabama,1,Clear
315,10170,4,Fatal Injury (K),1,Alabama,1,Clear
316,10171,4,Fatal Injury (K),1,Alabama,10,Cloudy
317,10172,4,Fatal Injury (K),1,Alabama,1,Clear
318,10172,0,No Apparent Injury (O),1,Alabama,1,Clear
319,10173,4,Fatal Injury (K),1,Alabama,10,Cloudy
320,10173,0,No Apparent Injury (O),1,Alabama,10,Cloudy
321,10174,4,Fatal Injury (K),1,Alabama,1,Clear
322,10174,0,No Apparent Injury (O),1,Alabama,1,Clear
323,10176,4,Fatal Injury (K),1,Alabama,1,Clear
324,10176,3,Suspected Serious Injury (A),1,Alabama,1,Clear
325,10177,4,Fatal Injury (K),1,Alabama,1,Clear
326,10177,0,No Apparent Injury (O),1,Alabama,1,Clear
327,10178,4,Fatal Injury (K),1,Alabama,1,Clear
328,10178,3,Suspected Serious Injury (A),1,Alabama,1,Clear
329,10179,4,Fatal Injury (K),1,Alabama,10,Cloudy
330,10179,3,Suspected Serious Injury (A),1,Alabama,10,Cloudy
331,10180,4,Fatal Injury (K),1,Alabama,1,Clear
332,10180,3,Suspected Serious Injury (A),1,Alabama,1,Clear
333,10181,0,No Apparent Injury (O),1,Alabama,1,Clear
334,10181,3,Suspected Serious Injury (A),1,Alabama,1,Clear
335,10181,4,Fatal Injury (K),1,Alabama,1,Clear
336,10181,2,Suspected Minor Injury (B),1,Alabama,1,Clear
337,10182,4,Fatal Injury (K),1,Alabama,1,Clear
338,10183,4,Fatal Injury (K),1,Alabama,1,Clear
339,10183,0,No Apparent Injury (O),1,Alabama,1,Clear
340,10184,4,Fatal Injury (K),1,Alabama,1,Clear
341,10185,0,No Apparent Injury (O),1,Alabama,10,Cloudy
342,10185,4,Fatal Injury (K),1,Alabama,10,Cloudy
343,10186,4,Fatal Injury (K),1,Alabama,1,Clear
344,10186,0,No Apparent Injury (O),1,Alabama,1,Clear
345,10187,4,Fatal Injury (K),1,Alabama,1,Clear
346,10187,3,Suspected Serious Injury (A),1,Alabama,1,Clear
347,10188,4,Fatal Injury (K),1,Alabama,1,Clear
348,10190,4,Fatal Injury (K),1,Alabama,5,"Fog, Smog, Smoke"
349,10190,0,No Apparent Injury (O),1,Alabama,5,"Fog, Smog, Smoke"
350,10191,4,Fatal Injury (K),1,Alabama,1,Clear
351,10192,3,Suspected Serious Injury (A),1,Alabama,1,Clear
352,10192,0,No Apparent Injury (O),1,Alabama,1,Clear
353,10192,4,Fatal Injury (K),1,Alabama,1,Clear
354,10192,2,Suspected Minor Injury (B),1,Alabama,1,Clear
355,10193,0,No Apparent Injury (O),1,Alabama,1,Clear
356,10193,4,Fatal Injury (K),1,Alabama,1,Clear
357,10194,4,Fatal Injury (K),1,Alabama,1,Clear
358,10195,4,Fatal Injury (K),1,Alabama,1,Clear
359,10195,3,Suspected Serious Injury (A),1,Alabama,1,Clear
360,10195,2,Suspected Minor Injury (B),1,Alabama,1,Clear
361,10195,0,No Apparent Injury (O),1,Alabama,1,Clear
362,10196,4,Fatal Injury (K),1,Alabama,1,Clear
363,10197,2,Suspected Minor Injury (B),1,Alabama,1,Clear
364,10197,0,No Apparent Injury (O),1,Alabama,1,Clear
365,10197,4,Fatal Injury (K),1,Alabama,1,Clear
366,10198,2,Suspected Minor Injury (B),1,Alabama,1,Clear
367,10198,4,Fatal Injury (K),1,Alabama,1,Clear
368,10199,3,Suspected Serious Injury (A),1,Alabama,1,Clear
369,10199,0,No Apparent Injury (O),1,Alabama,1,Clear
370,10199,4,Fatal Injury (K),1,Alabama,1,Clear
371,10200,4,Fatal Injury (K),1,Alabama,10,Cloudy
372,10200,0,No Apparent Injury (O),1,Alabama,10,Cloudy
373,10201,9,Unknown/Not Reported,1,Alabama,1,Clear
374,10201,4,Fatal Injury (K),1,Alabama,1,Clear
375,10202,4,Fatal Injury (K),1,Alabama,1,Clear
376,10203,4,Fatal Injury (K),1,Alabama,10,Cloudy
377,10204,4,Fatal Injury (K),1,Alabama,10,Cloudy
378,10204,2,Suspected Minor Injury (B),1,Alabama,10,Cloudy
379,10204,3,Suspected Serious Injury (A),1,Alabama,10,Cloudy
380,10204,1,Possible Injury (C),1,Alabama,10,Cloudy
381,10205,4,Fatal Injury (K),1,Alabama,1,Clear
382,10206,4,Fatal Injury (K),1,Alabama,1,Clear
383,10206,3,Suspected Serious Injury (A),1,Alabama,1,Clear
384,10207,2,Suspected Minor Injury (B),1,Alabama,1,Clear
385,10207,4,Fatal Injury (K),1,Alabama,1,Clear
386,10207,0,No Apparent Injury (O),1,Alabama,1,Clear
387,10208,4,Fatal Injury (K),1,Alabama,1,Clear
388,10209,4,Fatal Injury (K),1,Alabama,1,Clear
389,10209,0,No Apparent Injury (O),1,Alabama,1,Clear
390,10210,4,Fatal Injury (K),1,Alabama,2,Rain
391,10211,4,Fatal Injury (K),1,Alabama,1,Clear
392,10211,2,Suspected Minor Injury (B),1,Alabama,1,Clear
393,10211,0,No Apparent Injury (O),1,Alabama,1,Clear
394,10212,3,Suspected Serious Injury (A),1,Alabama,1,Clear
395,10212,4,Fatal Injury (K),1,Alabama,1,Clear
396,10213,4,Fatal Injury (K),1,Alabama,1,Clear
397,10213,0,No Apparent Injury (O),1,Alabama,1,Clear
398,10214,4,Fatal Injury (K),1,Alabama,1,Clear
399,10215,4,Fatal Injury (K),1,Alabama,1,Clear
400,10216,4,Fatal Injury (K),1,Alabama,1,Clear
401,10217,4,Fatal Injury (K),1,Alabama,1,Clear
402,10218,0,No Apparent Injury (O),1,Alabama,1,Clear
403,10218,3,Suspected Serious Injury (A),1,Alabama,1,Clear
404,10218,4,Fatal Injury (K),1,Alabama,1,Clear
405,10219,4,Fatal Injury (K),1,Alabama,1,Clear
406,10219,3,Suspected Serious Injury (A),1,Alabama,1,Clear
407,10220,4,Fatal Injury (K),1,Alabama,10,Cloudy
408,10221,3,Suspected Serious Injury (A),1,Alabama,10,Cloudy
409,10221,4,Fatal Injury (K),1,Alabama,10,Cloudy
410,10222,4,Fatal Injury (K),1,Alabama,1,Clear
411,10222,3,Suspected Serious Injury (A),1,Alabama,1,Clear
412,10223,4,Fatal Injury (K),1,Alabama,1,Clear
413,10224,4,Fatal Injury (K),1,Alabama,1,Clear
414,10225,4,Fatal Injury (K),1,Alabama,1,Clear
415,10226,4,Fatal Injury (K),1,Alabama,1,Clear
416,10226,2,Suspected Minor Injury (B),1,Alabama,1,Clear
417,10227,3,Suspected Serious Injury (A),1,Alabama,1,Clear
418,10227,4,Fatal Injury (K),1,Alabama,1,Clear
419,10227,2,Suspected Minor Injury (B),1,Alabama,1,Clear
420,10228,3,Suspected Serious Injury (A),1,Alabama,1,Clear
421,10228,4,Fatal Injury (K),1,Alabama,1,Clear
422,10229,4,Fatal Injury (K),1,Alabama,1,Clear
423,10230,4,Fatal Injury (K),1,Alabama,10,Cloudy
424,10231,4,Fatal Injury (K),1,Alabama,1,Clear
425,10231,3,Suspected Serious Injury (A),1,Alabama,1,Clear
426,10232,4,Fatal Injury (K),1,Alabama,1,Clear
427,10232,0,No Apparent Injury (O),1,Alabama,1,Clear
428,10232,1,Possible Injury (C),1,Alabama,1,Clear
429,10233,0,No Apparent Injury (O),1,Alabama,10,Cloudy
430,10233,4,Fatal Injury (K),1,Alabama,10,Cloudy
431,10234,4,Fatal Injury (K),1,Alabama,1,Clear
432,10235,4,Fatal Injury (K),1,Alabama,1,Clear
433,10236,2,Suspected Minor Injury (B),1,Alabama,1,Clear
434,10236,3,Suspected Serious Injury (A),1,Alabama,1,Clear
435,10236,4,Fatal Injury (K),1,Alabama,1,Clear
436,10237,4,Fatal Injury (K),1,Alabama,1,Clear
437,10238,4,Fatal Injury (K),1,Alabama,1,Clear
438,10238,0,No Apparent Injury (O),1,Alabama,1,Clear
439,10239,4,Fatal Injury (K),1,Alabama,10,Cloudy
